Fecha vencimiento,Monto,Cuota,Dólar blue,IPC,Dólar oficial
12/5/2024,418446,,1035.00,4.2,884.25
1/6/2024,0,,1255.00,4.6,896.4167
11/7/2024,552349,1,1455.00,4,920.5
11/8/2024,552349,2,1345.00,4.2,939.8333
12/9/2024,591014.4,3,1270.00,3.5,959.6667
11/10/2024,591014.4,4,1170.00,2.7,979.4167
11/11/2024,644205.6,5,1115.00,2.4,997.75
12/12/2024,644205.6,6,1085.00,2.7,1018.75
12/1/2025,682857.6,7,1230.00,2.2,1040.25
13/2/2025,682857.6,8,1205.00,2.4,1057.4583
14/3/2025,717000.8,9,1220.00,3.7,1067.125
11/4/2025,717000.8,10,1355.00,2.8,1078.375
12/5/2025,752851.2,11,1160.00,,1126
